﻿Column1,Column2
text,locations
"Dans le cabinet du président du tribunal civil de Lorient, un mari a tiré des coups de revolver sur sa femme.",Lorient
"Jean Tanguy, 48 ans, à Guiclan (Finistère), a eu la tête broyée par une roue de sa voiture, dont le cheval s’était emballé.",Guiclan; Finistère
Le contre-torpilleur Escopette conduira le 1er mars à Ouessant la commission du nouveau poste de télégraphie sans fil.,Ouessant
"Le docker Francois Queginer, 39 ans, a jeté a la mer M. Marais, fondé de pouvoirs des armateurs. M. Marais a été sauvé.",mer M. Marais
"Le cuirassé norvégien Tordenskjold, quittera Brest jeudi pour Gibraltar. De là, il ira à Alger, puis à Lisbonne.",Tordenskjold; Brest; Gibraltar; Alger; Lisbonne
"On a trouvé à Rochefort, dans le bassin 1, le cadavre d’un colporteur, Julien Plateaux, né à Roubaix, en 1855.",Rochefort; Roubaix
"À Perigotville (Constantine), une maison s’est effondrée, tuant une femme, son beaufrère, cinquante moutons et du bétail.",Perigotville; Constantine; beaufrère
Un congrès des sociétés de libre pensée des départements des vallées de la Saône et du Rhône se tiendra à Lyon le 3 juin.,Saône; Rhône; Lyon
"On a trouvé sur la côte, près de Bône (Algérie), un panier contenant un tronc humain.",Bône; Algérie
Une instruction a été ouverte et des perquisitions ont été opérées chez des antimilitaristes de Toulon.,Toulon
"Un jeune Français, Léon Huet, dont les parents habiteraient avenue du Bois-de-Boulogne, s’est suicidé à New-York.",Français; Bois-de-Boulogne; New-York
"La reine Alexandra d'Angleterre a quitté hier matin Copenhague, à destination de Londres, par la voie de Calais et Douvres.",Copenhague; Londres; voie de Calais; Douvres
"Une émeute s’est produite à Guanabacou, près de La Havane. Deux sous-officiers ont été tués, quatre soldats blessés.",Guanabacou; La Havane
"La Chambre des seigneurs d’Autriche a approuvé les traités de commerce avec l’Italie, la Belgique et la Russie.",Chambre des seigneurs d’Autriche; Italie; Belgique; Russie
"La Chambre des communes a adopté, sans procéder au vote, l’adresse en réponse au discours du trône.",Chambre des communes
Le gouvernement hongrois a interdit la vente des journaux sur la voie publique et en a saisi un grand nombre.,
